symbol,name,sector,market_cap,change_pct
IBKR,Interactive Brokers,Financials,112263876235.6593,1.6625644185282011
ICE,Intercontinental Exchange,Financials,90164191845.44167,0.42281971515241956
IFF,International Flavors & Fragrances,Materials,16981582600.808273,-1.2812881036351813
IP,International Paper,Materials,20756552459.928215,0.2264113212274571
INTU,Intuit,Information Technology,182287973437.5,1.0946805421883565
ISRG,Intuitive Surgical,Health Care,203458719570.64178,-0.3765107596006012
IVZ,Invesco,Financials,11289573176.98035,3.79254271241092
INVH,Invitation Homes,Real Estate,16897912863.173315,-0.343453773964429
IQV,IQVIA,Health Care,37959868960.57129,-1.9098800791088018
IRM,Iron Mountain,Real Estate,25065989738.86754,0.616996060741134
JBHT,J.B. Hunt,Industrials,18344431400.085663,0.8461027848995476
JBL,Jabil,Information Technology,23542264408.938354,2.4842277730487377
JKHY,Jack Henry & Associates,Financials,13033229957.631317,1.896324445180638
J,Jacobs Solutions,Industrials,16884347910.602615,1.290282274957602
JNJ,Johnson & Johnson,Health Care,487605175983.6167,-1.4342800847203514
JCI,Johnson Controls,Industrials,75201973681.50447,0.6084745993666174
JPM,JPMorgan Chase,Financials,870847079128.1312,0.0
K,Kellanova,Consumer Staples,28930598632.25306,0.012030474264971058
KVUE,Kenvue,Consumer Staples,32652973534.507675,0.26517429649235535
KDP,Keurig Dr Pepper,Consumer Staples,38699241144.83833,0.0
KEY,KeyCorp,Financials,20937969192.787323,1.8399963378906248
KEYS,Keysight Technologies,Information Technology,35780470517.33635,0.7695640739526541
KMB,Kimberly-Clark,Consumer Staples,34982855753.54046,-0.6595655953620067
KIM,Kimco Realty,Real Estate,13777534312.44201,-0.31847395660739775
KMI,Kinder Morgan,Energy,61314395160.24977,1.4354044481167128
KKR,KKR & Co.,Financials,118045790487.27727,0.7985408602383389
KLAC,KLA Corporation,Information Technology,158633773484.10437,-0.5859274261140912
KHC,Kraft Heinz,Consumer Staples,29348740171.610756,-0.938875764701615
KR,Kroger,Consumer Staples,41775235091.18002,-4.853470671661039
LHX,L3Harris,Industrials,52977763970.00162,1.9514703025518998
LH,Labcorp,Health Care,21797960797.11914,-1.2981683023242783
LRCX,Lam Research,Information Technology,197578531527.92358,-1.9217573234546166
LW,Lamb Weston,Consumer Staples,8333412448.680782,-1.1406884150440961
LVS,Las Vegas Sands,Consumer Discretionary,45518737004.25787,-0.852272305969762
LDOS,Leidos,Industrials,24920474666.6783,3.125662976723788
LEN,Lennar,Consumer Discretionary,32021018091.11679,-2.610235090560159
LII,Lennox International,Industrials,17892484319.92868,1.5599663287990817
LLY,Lilly (Eli),Health Care,909885663740.8989,-1.8150924704178284
LIN,Linde plc,Materials,188902554665.45398,-1.5385513880146582
LYV,Live Nation Entertainment,Communication Services,32141241364.482956,1.7866392417567365
LKQ,LKQ Corporation,Consumer Discretionary,7448638104.699127,-1.3462864884437686
LMT,Lockheed Martin,Industrials,104245652899.73828,-0.06378092039324236
L,Loews Corporation,Financials,21852370396.74244,-0.37825203392804374
LOW,Lowe's,Consumer Discretionary,138442821299.48798,-0.0485928225484538
LULU,Lululemon Athletica,Consumer Discretionary,22125602170.420944,1.294569704248179
LYB,LyondellBasell,Materials,14191379031.873917,-4.214639752677001
MTB,M&T Bank,Financials,30720979345.414764,0.49071790171103097
MPC,Marathon Petroleum,Energy,58175804929.780106,1.0162081645922618
MAR,Marriott International,Consumer Discretionary,80508473475.6435,-3.274093834911692
MMC,Marsh McLennan,Financials,90095019419.60847,-0.3099973245044192
MLM,Martin Marietta Materials,Materials,37106984351.72882,-0.1542553159860438
MAS,Masco,Industrials,13558389514.608978,0.18569345726907593
MA,Mastercard,Financials,490331517986.0962,-2.047019546946798
MTCH,Match Group,Communication Services,8101747282.567688,0.11893279678780494
MKC,McCormick & Company,Consumer Staples,17063324890.630508,-0.8421723212669839
MCD,McDonald's,Consumer Discretionary,219882872400.37946,0.1364667663257543
MCK,McKesson Corporation,Health Care,100950371133.67163,0.7735550748750567
MDT,Medtronic,Health Care,131134658326.9166,0.2647804646800263
MRK,Merck & Co.,Health Care,253874684143.1541,-0.5964535063846479
META,Meta Platforms,Communication Services,1681141447418.0054,4.280801427131025
MET,MetLife,Financials,51915260529.108765,0.7160370144234038
MTD,Mettler Toledo,Health Care,29496691226.40625,-0.20455080451063282
MGM,MGM Resorts,Consumer Discretionary,9626059072.332458,-0.9707406072474094
MCHP,Microchip Technology,Information Technology,35169576073.23715,2.3030912181004117
MU,Micron Technology,Information Technology,256979238266.65714,-2.4705344942072514
MSFT,Microsoft,Information Technology,3557439070104.5415,0.1739462946085528
MAA,Mid-America Apartment Communities,Real Estate,16005286674.634796,-0.8753385784757386
MRNA,Moderna,Health Care,10077020830.167328,2.5019823396789413
MHK,Mohawk Industries,Consumer Discretionary,7013449943.02961,-2.0223954948097136
MOH,Molina Healthcare,Health Care,8151679669.189453,0.8786622783361215
TAP,Molson Coors Beverage Company,Consumer Staples,9080946111.65831,-0.6920490871662418
MDLZ,Mondelez International,Consumer Staples,72305799340.90346,-0.26753262951724704
MPWR,Monolithic Power Systems,Information Technology,45440675475.40283,-0.9917878212561002
MNST,Monster Beverage,Consumer Staples,71747550611.6543,-0.74333752972386
MCO,Moody's Corporation,Financials,88048951601.05096,-0.22357392770111045
MS,Morgan Stanley,Financials,279310869175.97205,0.7512046204301588
MOS,Mosaic Company (The),Materials,7689205941.406496,0.06196322827079972
MSI,Motorola Solutions,Information Technology,62216543329.065735,-0.5989223929602189
MSCI,MSCI Inc.,Financials,41938922860.91968,-0.6360383310091061
NDAQ,"Nasdaq, Inc.",Financials,51440284661.26251,1.5049827323615819
NTAP,NetApp,Information Technology,23165714420.536972,1.2122792126752544
NFLX,Netflix,Communication Services,433838359320.1842,-1.5438589281199626
NEM,Newmont,Materials,99497578192.40152,1.0373678631866188
NWSA,News Corp (Class A),Communication Services,14958813703.502438,0.16197539236647124
NWS,News Corp (Class B),Communication Services,16326761047.413568,0.8617717960274419
NEE,NextEra Energy,Utilities,173981214908.0461,-1.6597952717690119
NKE,"Nike, Inc.",Consumer Discretionary,97694322667.33493,0.6626009877886692
NI,NiSource,Utilities,19892329284.305447,0.3701021378790776
NDSN,Nordson Corporation,Industrials,13504790733.285324,0.16555776793823884
NSC,Norfolk Southern,Industrials,66198537282.155,0.31287654001949056
NTRS,Northern Trust,Financials,25411243868.860016,0.8701527425986908
NOC,Northrop Grumman,Industrials,79814488607.55652,0.7427863256631253
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,8515591297.01161,-0.7169422699353133
NRG,NRG Energy,Utilities,32778785175.04872,1.6609635682124215
NUE,Nucor,Materials,37223859489.5076,-1.2506907494463582
NVDA,Nvidia,Information Technology,4475343864440.918,2.291333357689847
NVR,"NVR, Inc.",Consumer Discretionary,20840780727.765625,-1.782621876703232
NXPI,NXP Semiconductors,Information Technology,56772424459.56085,-0.9623846303840607
ORLY,O’Reilly Automotive,Consumer Discretionary,84353656906.1765,1.1205716668691166
OXY,Occidental Petroleum,Energy,42013510170.21833,0.4475821514586656
ODFL,Old Dominion,Industrials,32184096658.141937,1.3580676337878421
OMC,Omnicom Group,Communication Services,22465772875.690323,-0.2957733584121919
ON,ON Semiconductor,Information Technology,22857556219.152084,-2.204728088519664
OKE,Oneok,Energy,47641353150.625305,1.0154867847149678
ORCL,Oracle Corporation,Information Technology,604681316689.0345,2.1085086279775225
OTIS,Otis Worldwide,Industrials,34049187500.684586,-0.2127963915264054
PCAR,Paccar,Industrials,57223641896.5229,0.3823483619189607
PKG,Packaging Corporation of America,Materials,17813999073.909164,0.015154725819328382
PLTR,Palantir Technologies,Information Technology,424323168344.6718,1.0960885141477
PANW,Palo Alto Networks,Information Technology,133221023859.28397,0.5900437960253863
PSKY,Paramount Skydance Corporation,Communication Services,16166913028.342613,-0.10225182852584835
PH,Parker Hannifin,Industrials,111071526722.72607,0.9813585068941567
PAYX,Paychex,Industrials,40570867948.53074,-0.5820584145581148
PAYC,Paycom,Industrials,9381349306.4133,1.3368965610605636
PYPL,PayPal,Financials,58626986939.32417,0.2044388648373188
PNR,Pentair,Industrials,17360320260.539246,-0.5353617810547955
PEP,PepsiCo,Consumer Staples,200638268424.29205,-1.0333640446612788
PFE,Pfizer,Health Care,145355116603.37543,0.0
PCG,PG&E Corporation,Utilities,33748913569.751453,0.8207485473216591
PM,Philip Morris International,Consumer Staples,228514573103.68445,-3.2364402114686426
PSX,Phillips 66,Energy,56476366033.75,-0.07150954533502232
PNW,Pinnacle West Capital,Utilities,10586017303.028389,-0.1974757913946941
PNC,PNC Financial Services,Financials,78159097722.05823,0.459597809146149
POOL,Pool Corporation,Consumer Discretionary,9077232470.91394,-1.1139077493968101
PPG,PPG Industries,Materials,22718962826.538086,-0.6710012831597107
PPL,PPL Corporation,Utilities,25454424967.69476,-1.1490994257352114
PFG,Principal Financial Group,Financials,19231600005.7612,0.45380425712035377
